cliente_id;idade;genero;uf;data_cadastro;faixa_etaria;dias_desde_cadastro;regiao
87;43;F;SP;2023-01-24;36-45;1161;Sudeste
88;42;F;ES;2025-03-14;36-45;381;Sudeste
89;62;Outro;RS;2022-10-24;55+;1253;Sul
90;58;F;RJ;2024-09-08;55+;568;Sudeste
91;46;M;MG;2024-04-16;46-55;713;Sudeste
92;32;F;RS;2022-11-19;26-35;1227;Sul
93;62;F;RJ;2021-04-14;55+;1811;Sudeste
94;18;M;PR;2024-02-17;18-25;772;Sul
95;42;F;ES;2022-12-13;36-45;1203;Sudeste
96;24;F;MG;2022-08-05;18-25;1333;Sudeste
97;26;M;RS;2021-02-26;26-35;1858;Sul
98;41;F;MG;2024-12-03;36-45;482;Sudeste
99;18;M;PR;2022-08-01;18-25;1337;Sul
100;61;F;PR;2023-12-18;55+;833;Sul
101;25;F;MG;2021-04-27;18-25;1798;Sudeste
102;41;F;PR;2024-12-19;36-45;466;Sul
103;28;F;PR;2023-03-30;26-35;1096;Sul
104;34;F;ES;2023-11-11;26-35;870;Sudeste
105;25;F;RJ;2021-03-20;18-25;1836;Sudeste
106;52;M;SC;2022-07-13;46-55;1356;Sul
107;52;F;SP;2023-06-05;46-55;1029;Sudeste
108;50;F;MG;2025-09-03;46-55;208;Sudeste
109;22;F;SP;2025-06-08;18-25;295;Sudeste
110;59;M;MG;2021-04-18;55+;1807;Sudeste
111;56;M;MG;2023-03-10;55+;1116;Sudeste
112;58;F;RJ;2024-07-18;55+;620;Sudeste
113;45;M;RS;2022-11-19;36-45;1227;Sul
114;24;F;RS;2025-02-08;18-25;415;Sul
115;26;F;MG;2021-03-11;26-35;1845;Sudeste
116;25;M;MG;2022-01-22;18-25;1528;Sudeste
117;29;F;RJ;2024-04-04;26-35;725;Sudeste
118;51;F;PR;2023-05-05;46-55;1060;Sul
119;50;F;RS;2023-12-18;46-55;833;Sul
120;40;F;SC;2025-01-14;36-45;440;Sul
121;41;F;SP;2021-09-02;36-45;1670;Sudeste
122;54;M;MG;2023-12-05;46-55;846;Sudeste
123;52;F;RJ;2022-11-15;46-55;1231;Sudeste
124;61;F;MG;2025-12-05;55+;115;Sudeste
125;57;F;RS;2024-11-07;55+;508;Sul
126;39;F;RJ;2025-05-21;36-45;313;Sudeste
127;44;F;SP;2025-09-21;36-45;190;Sudeste
128;52;F;ES;2023-02-24;46-55;1130;Sudeste
129;18;F;RS;2021-03-12;18-25;1844;Sul
130;52;F;PR;2025-04-21;46-55;343;Sul
131;54;F;ES;2024-06-16;46-55;652;Sudeste
132;64;M;RJ;2025-05-23;55+;311;Sudeste
133;31;F;MG;2021-04-18;26-35;1807;Sudeste
134;20;M;PR;2024-05-16;18-25;683;Sul
135;18;M;RS;2022-12-23;18-25;1193;Sul
136;22;F;SP;2021-10-29;18-25;1613;Sudeste
137;43;F;RS;2024-12-24;36-45;461;Sul
138;31;F;SC;2024-10-03;26-35;543;Sul
139;56;M;PR;2024-02-05;55+;784;Sul
140;44;F;MG;2022-06-12;36-45;1387;Sudeste
141;26;F;ES;2025-11-10;26-35;140;Sudeste
142;32;F;RJ;2024-11-30;26-35;485;Sudeste
143;32;F;ES;2025-10-24;26-35;157;Sudeste
144;43;F;RS;2023-08-10;36-45;963;Sul
145;59;M;PR;2021-09-13;55+;1659;Sul
146;30;F;SC;2024-08-17;26-35;590;Sul
147;49;Outro;MG;2023-08-12;46-55;961;Sudeste
148;56;M;RJ;2023-07-13;55+;991;Sudeste
149;49;F;MG;2024-03-14;46-55;746;Sudeste
150;21;F;MG;2025-08-27;18-25;215;Sudeste
151;47;F;SC;2025-03-28;46-55;367;Sul
152;54;F;PR;2022-07-16;46-55;1353;Sul
153;40;F;ES;2021-12-26;36-45;1555;Sudeste
154;56;F;MG;2025-03-28;55+;367;Sudeste
155;62;F;RS;2025-02-16;55+;407;Sul
156;32;F;RS;2024-04-28;26-35;701;Sul
157;60;F;MG;2021-10-23;55+;1619;Sudeste
158;46;F;MG;2021-04-03;46-55;1822;Sudeste
159;53;M;RJ;2024-02-28;46-55;761;Sudeste
160;30;F;MG;2023-05-11;26-35;1054;Sudeste
161;49;F;RS;2023-09-17;46-55;925;Sul
162;24;F;MG;2022-04-29;18-25;1431;Sudeste
163;39;M;PR;2023-05-26;36-45;1039;Sul
164;45;F;RS;2024-12-03;36-45;482;Sul
165;19;F;MG;2021-12-07;18-25;1574;Sudeste
166;59;F;SC;2024-05-22;55+;677;Sul
167;62;F;SC;2021-11-26;55+;1585;Sul
168;23;F;RS;2023-03-10;18-25;1116;Sul
169;45;F;MG;2024-04-13;36-45;716;Sudeste
170;45;F;SC;2025-01-07;36-45;447;Sul
171;61;F;PR;2021-07-20;55+;1714;Sul
172;61;F;RJ;2025-06-29;55+;274;Sudeste
173;37;F;SC;2023-01-13;36-45;1172;Sul
174;47;F;RS;2021-04-08;46-55;1817;Sul
175;28;F;SC;2024-02-01;26-35;788;Sul
176;45;M;ES;2025-04-26;36-45;338;Sudeste
177;42;F;PR;2024-03-20;36-45;740;Sul
178;56;F;SC;2024-07-15;55+;623;Sul
179;50;F;RJ;2023-04-19;46-55;1076;Sudeste
180;18;M;ES;2021-12-18;18-25;1563;Sudeste
181;44;M;RS;2022-04-12;36-45;1448;Sul
182;30;F;RS;2024-07-25;26-35;613;Sul
183;58;F;MG;2025-05-11;55+;323;Sudeste
184;20;M;PR;2023-11-06;18-25;875;Sul
185;56;F;SC;2022-04-01;55+;1459;Sul
186;23;M;MG;2025-10-24;18-25;157;Sudeste
187;25;F;PR;2024-04-17;18-25;712;Sul
188;44;M;RS;2024-03-03;36-45;757;Sul
189;26;M;ES;2021-09-15;26-35;1657;Sudeste
190;54;F;SC;2021-03-03;46-55;1853;Sul
191;50;F;RS;2022-04-27;46-55;1433;Sul
192;59;F;RJ;2025-02-09;55+;414;Sudeste
193;61;M;PR;2023-09-27;55+;915;Sul
194;41;Outro;RS;2022-09-27;36-45;1280;Sul
195;32;F;RS;2023-12-02;26-35;849;Sul
196;49;F;RJ;2024-10-28;46-55;518;Sudeste
197;49;F;MG;2024-10-28;46-55;518;Sudeste
198;41;F;RS;2024-08-15;36-45;592;Sul
199;58;F;MG;2023-12-12;55+;839;Sudeste
200;29;F;ES;2024-11-03;26-35;512;Sudeste
201;56;Outro;ES;2023-07-05;55+;999;Sudeste
202;19;F;SP;2021-11-08;18-25;1603;Sudeste
203;20;F;SP;2022-08-02;18-25;1336;Sudeste
204;54;F;ES;2021-02-28;46-55;1856;Sudeste
205;34;F;SC;2021-10-31;26-35;1611;Sul
206;19;M;MG;2021-02-04;18-25;1880;Sudeste
207;19;F;RJ;2022-10-10;18-25;1267;Sudeste
208;45;F;RS;2023-10-08;36-45;904;Sul
209;40;F;RS;2025-05-31;36-45;303;Sul
210;54;F;ES;2025-11-13;46-55;137;Sudeste
211;49;F;SC;2022-05-08;46-55;1422;Sul
212;50;F;RJ;2022-05-06;46-55;1424;Sudeste
213;18;F;SP;2021-08-09;18-25;1694;Sudeste
214;36;F;RJ;2025-06-09;36-45;294;Sudeste
215;19;F;ES;2021-05-03;18-25;1792;Sudeste
216;61;F;MG;2022-12-08;55+;1208;Sudeste
217;43;F;ES;2024-01-31;36-45;789;Sudeste
218;49;M;RS;2023-06-06;46-55;1028;Sul
219;23;Outro;RS;2025-03-19;18-25;376;Sul
220;49;F;PR;2024-08-29;46-55;578;Sul
221;21;F;SC;2025-03-10;18-25;385;Sul
222;28;F;SC;2022-05-09;26-35;1421;Sul
223;34;F;SC;2023-01-29;26-35;1156;Sul
224;55;F;PR;2025-08-11;46-55;231;Sul
225;41;M;PR;2024-05-07;36-45;692;Sul
226;22;M;MG;2022-09-25;18-25;1282;Sudeste
227;51;F;SC;2025-09-01;46-55;210;Sul
228;23;F;ES;2025-03-17;18-25;378;Sudeste
229;39;Outro;PR;2021-11-26;36-45;1585;Sul
230;28;F;ES;2025-07-03;26-35;270;Sudeste
231;33;F;SP;2023-08-30;26-35;943;Sudeste
232;50;F;SC;2024-09-12;46-55;564;Sul
233;26;M;PR;2021-01-10;26-35;1905;Sul
234;23;M;PR;2021-05-07;18-25;1788;Sul
235;33;F;MG;2023-09-12;26-35;930;Sudeste
236;46;F;ES;2022-10-31;46-55;1246;Sudeste
237;20;F;MG;2021-08-19;18-25;1684;Sudeste
238;37;F;MG;2023-11-05;36-45;876;Sudeste
239;53;F;ES;2022-05-02;46-55;1428;Sudeste
240;36;M;SP;2022-03-18;36-45;1473;Sudeste
241;43;M;ES;2023-05-28;36-45;1037;Sudeste
242;20;F;SP;2025-05-01;18-25;333;Sudeste
243;36;F;MG;2021-10-01;36-45;1641;Sudeste
244;37;F;SP;2022-09-10;36-45;1297;Sudeste
245;49;M;SC;2023-10-24;46-55;888;Sul
246;24;F;SP;2021-11-22;18-25;1589;Sudeste
247;58;M;SP;2021-09-10;55+;1662;Sudeste
248;50;F;PR;2025-04-07;46-55;357;Sul
249;57;F;PR;2023-12-15;55+;836;Sul
250;56;M;RS;2023-06-05;55+;1029;Sul
251;35;F;MG;2022-03-24;26-35;1467;Sudeste
252;57;F;ES;2024-08-13;55+;594;Sudeste
253;18;M;SP;2025-07-04;18-25;269;Sudeste
254;28;F;SC;2022-01-08;26-35;1542;Sul
255;45;F;PR;2025-10-25;36-45;156;Sul
256;42;F;ES;2022-04-14;36-45;1446;Sudeste
257;40;F;SC;2023-01-30;36-45;1155;Sul
258;48;M;SP;2024-03-05;46-55;755;Sudeste
259;47;M;ES;2023-04-13;46-55;1082;Sudeste
260;59;M;RS;2024-06-23;55+;645;Sul
261;52;F;SC;2021-03-11;46-55;1845;Sul
262;24;F;RJ;2022-04-26;18-25;1434;Sudeste
263;33;F;SC;2022-06-14;26-35;1385;Sul
264;43;M;SC;2022-05-05;36-45;1425;Sul
265;19;F;SP;2022-05-18;18-25;1412;Sudeste
266;18;M;ES;2023-10-06;18-25;906;Sudeste
267;29;M;SP;2025-09-18;26-35;193;Sudeste
268;22;F;SP;2021-04-27;18-25;1798;Sudeste
269;54;F;RJ;2024-07-04;46-55;634;Sudeste
270;49;F;RS;2022-08-30;46-55;1308;Sul
271;26;M;SC;2023-07-08;26-35;996;Sul
272;58;F;ES;2023-06-23;55+;1011;Sudeste
273;52;Outro;RS;2022-03-04;46-55;1487;Sul
274;36;F;MG;2024-02-13;36-45;776;Sudeste
275;33;F;PR;2022-05-09;26-35;1421;Sul
276;20;F;RS;2021-03-03;18-25;1853;Sul
277;37;F;SP;2022-05-12;36-45;1418;Sudeste
278;41;M;SP;2022-09-28;36-45;1279;Sudeste
279;50;M;SP;2021-03-21;46-55;1835;Sudeste
280;41;F;SP;2025-08-10;36-45;232;Sudeste
281;28;M;PR;2022-04-30;26-35;1430;Sul
282;25;M;MG;2023-11-12;18-25;869;Sudeste
283;53;F;RJ;2022-08-18;46-55;1320;Sudeste
284;55;F;MG;2024-09-09;46-55;567;Sudeste
285;57;M;PR;2025-03-21;55+;374;Sul
286;37;F;ES;2021-09-18;36-45;1654;Sudeste
287;52;F;RJ;2021-05-09;46-55;1786;Sudeste
288;42;M;RJ;2022-09-18;36-45;1289;Sudeste
289;52;F;ES;2021-10-11;46-55;1631;Sudeste
290;42;F;SC;2023-12-07;36-45;844;Sul
291;46;F;SP;2024-04-26;46-55;703;Sudeste
292;35;F;PR;2021-01-19;26-35;1896;Sul
293;63;M;ES;2022-08-22;55+;1316;Sudeste
294;35;M;MG;2022-10-16;26-35;1261;Sudeste
295;19;F;MG;2023-02-02;18-25;1152;Sudeste
296;52;F;SC;2023-04-18;46-55;1077;Sul
297;33;F;ES;2023-10-29;26-35;883;Sudeste
298;58;F;PR;2023-11-27;55+;854;Sul
299;53;M;SC;2025-06-10;46-55;293;Sul
300;50;F;SC;2021-03-13;46-55;1843;Sul
301;21;F;SC;2024-11-05;18-25;510;Sul
302;50;F;RJ;2024-07-13;46-55;625;Sudeste
303;31;F;RJ;2023-12-27;26-35;824;Sudeste
304;38;F;SP;2022-10-15;36-45;1262;Sudeste
305;37;F;PR;2021-03-05;36-45;1851;Sul
306;25;F;MG;2021-01-30;18-25;1885;Sudeste
307;24;F;MG;2022-07-11;18-25;1358;Sudeste
308;20;F;SP;2022-10-08;18-25;1269;Sudeste
309;34;F;MG;2023-11-06;26-35;875;Sudeste
310;50;M;SC;2021-10-05;46-55;1637;Sul
311;29;F;SP;2025-10-21;26-35;160;Sudeste
312;39;F;SP;2021-10-04;36-45;1638;Sudeste
313;39;F;ES;2021-08-09;36-45;1694;Sudeste
314;63;F;RJ;2024-05-01;55+;698;Sudeste
315;47;F;PR;2022-11-01;46-55;1245;Sul
316;55;Outro;PR;2023-11-14;46-55;867;Sul
317;55;F;RJ;2023-04-12;46-55;1083;Sudeste
318;62;F;SC;2021-05-21;55+;1774;Sul
319;25;F;PR;2023-01-04;18-25;1181;Sul
320;44;F;MG;2021-01-26;36-45;1889;Sudeste
321;44;F;MG;2021-04-08;36-45;1817;Sudeste
322;51;F;PR;2021-10-03;46-55;1639;Sul
323;38;F;RS;2022-07-27;36-45;1342;Sul
324;47;F;RS;2023-06-11;46-55;1023;Sul
325;50;F;ES;2024-06-20;46-55;648;Sudeste
326;45;F;PR;2022-03-09;36-45;1482;Sul
327;64;F;SP;2021-01-09;55+;1906;Sudeste
328;50;F;SC;2023-06-15;46-55;1019;Sul
329;22;F;SP;2023-05-19;18-25;1046;Sudeste
330;36;M;RJ;2023-07-22;36-45;982;Sudeste
331;21;M;SC;2021-09-29;18-25;1643;Sul
332;52;F;SC;2025-12-01;46-55;119;Sul
333;34;F;MG;2021-02-01;26-35;1883;Sudeste
334;61;F;SC;2023-05-02;55+;1063;Sul
335;45;M;ES;2022-08-28;36-45;1310;Sudeste
336;47;F;PR;2025-02-11;46-55;412;Sul
337;46;M;SP;2024-02-26;46-55;763;Sudeste
338;63;F;MG;2025-11-08;55+;142;Sudeste
339;23;F;RS;2021-01-17;18-25;1898;Sul
340;52;F;MG;2025-04-26;46-55;338;Sudeste
341;58;F;ES;2025-02-05;55+;418;Sudeste
342;54;M;ES;2021-10-28;46-55;1614;Sudeste
343;41;F;ES;2021-02-11;36-45;1873;Sudeste
344;46;F;ES;2021-02-21;46-55;1863;Sudeste
345;63;F;RS;2021-07-07;55+;1727;Sul
346;48;F;SP;2021-05-31;46-55;1764;Sudeste
347;52;F;ES;2024-06-21;46-55;647;Sudeste
348;50;F;MG;2025-02-23;46-55;400;Sudeste
349;38;F;MG;2024-02-25;36-45;764;Sudeste
350;49;F;RS;2025-10-07;46-55;174;Sul
351;40;M;SC;2022-02-13;36-45;1506;Sul
352;50;F;PR;2025-06-24;46-55;279;Sul
353;20;F;MG;2021-12-10;18-25;1571;Sudeste
354;35;F;MG;2022-08-14;26-35;1324;Sudeste
355;42;Outro;RS;2025-09-15;36-45;196;Sul
356;59;F;SP;2024-01-27;55+;793;Sudeste
357;48;F;SC;2023-12-28;46-55;823;Sul
358;20;Outro;MG;2023-04-26;18-25;1069;Sudeste
359;57;F;RJ;2023-06-19;55+;1015;Sudeste
360;63;F;MG;2021-01-28;55+;1887;Sudeste
361;41;F;PR;2023-11-19;36-45;862;Sul
362;49;F;PR;2022-09-26;46-55;1281;Sul
363;64;M;SC;2021-07-31;55+;1703;Sul
364;39;M;SC;2022-11-19;36-45;1227;Sul
365;40;F;ES;2025-06-29;36-45;274;Sudeste
366;19;Outro;SP;2025-02-12;18-25;411;Sudeste
367;44;F;PR;2021-03-13;36-45;1843;Sul
368;59;M;RJ;2025-02-23;55+;400;Sudeste
369;19;F;RJ;2021-04-20;18-25;1805;Sudeste
370;43;F;ES;2024-02-11;36-45;778;Sudeste
371;34;Outro;SP;2024-11-21;26-35;494;Sudeste
372;57;Outro;SP;2021-08-20;55+;1683;Sudeste
373;50;F;SC;2021-02-12;46-55;1872;Sul
374;26;F;MG;2021-09-22;26-35;1650;Sudeste
375;60;F;RJ;2021-02-15;55+;1869;Sudeste
376;56;F;RJ;2025-05-13;55+;321;Sudeste
377;46;F;RS;2024-06-02;46-55;666;Sul
378;59;F;RJ;2025-08-03;55+;239;Sudeste
379;43;F;RJ;2024-01-30;36-45;790;Sudeste
380;52;M;RS;2024-07-28;46-55;610;Sul
381;42;F;PR;2021-08-26;36-45;1677;Sul
382;41;F;SP;2022-08-24;36-45;1314;Sudeste
383;30;F;MG;2024-06-23;26-35;645;Sudeste
384;24;F;PR;2022-11-22;18-25;1224;Sul
385;53;F;SP;2023-09-03;46-55;939;Sudeste
386;62;F;ES;2023-01-13;55+;1172;Sudeste
387;37;M;RJ;2024-01-28;36-45;792;Sudeste
388;18;M;MG;2022-12-28;18-25;1188;Sudeste
389;25;M;SP;2021-07-19;18-25;1715;Sudeste
390;63;Outro;ES;2023-10-10;55+;902;Sudeste
391;33;M;RJ;2024-07-03;26-35;635;Sudeste
392;31;M;ES;2022-03-13;26-35;1478;Sudeste
393;29;F;RS;2022-05-09;26-35;1421;Sul
394;40;F;ES;2024-12-30;36-45;455;Sudeste
395;32;F;PR;2022-12-08;26-35;1208;Sul
396;45;F;ES;2021-01-24;36-45;1891;Sudeste
397;51;F;PR;2024-10-18;46-55;528;Sul
398;19;F;SC;2021-09-27;18-25;1645;Sul
399;49;M;PR;2023-03-01;46-55;1125;Sul
400;40;F;RS;2023-01-08;36-45;1177;Sul
401;39;F;RS;2024-06-05;36-45;663;Sul
402;42;F;ES;2021-05-08;36-45;1787;Sudeste
403;39;F;SP;2022-06-27;36-45;1372;Sudeste
404;39;F;ES;2025-11-22;36-45;128;Sudeste
405;59;F;ES;2023-12-18;55+;833;Sudeste
406;23;M;SP;2021-11-21;18-25;1590;Sudeste
407;32;F;RJ;2022-10-21;26-35;1256;Sudeste
408;60;F;MG;2024-02-04;55+;785;Sudeste
409;54;F;SC;2024-12-31;46-55;454;Sul
410;50;F;RJ;2021-03-26;46-55;1830;Sudeste
411;25;F;ES;2023-10-23;18-25;889;Sudeste
412;61;M;RJ;2024-12-31;55+;454;Sudeste
413;61;M;MG;2022-03-27;55+;1464;Sudeste
414;22;M;RS;2025-05-08;18-25;326;Sul
415;56;M;RJ;2025-01-04;55+;450;Sudeste
416;21;F;MG;2024-05-30;18-25;669;Sudeste
417;23;M;RJ;2023-09-21;18-25;921;Sudeste
418;62;F;PR;2023-11-15;55+;866;Sul
419;49;M;ES;2023-11-25;46-55;856;Sudeste
420;47;F;MG;2022-10-31;46-55;1246;Sudeste
421;64;F;SC;2023-08-30;55+;943;Sul
422;52;F;ES;2021-12-09;46-55;1572;Sudeste
423;57;F;PR;2023-09-15;55+;927;Sul
424;33;F;RS;2024-10-21;26-35;525;Sul
425;30;M;RJ;2025-08-08;26-35;234;Sudeste
426;59;F;ES;2024-09-21;55+;555;Sudeste
427;47;F;RJ;2024-12-27;46-55;458;Sudeste
428;36;M;RJ;2023-08-10;36-45;963;Sudeste
429;34;F;ES;2022-04-02;26-35;1458;Sudeste
430;36;M;MG;2023-06-18;36-45;1016;Sudeste
431;45;F;MG;2025-02-11;36-45;412;Sudeste
432;43;F;ES;2022-02-02;36-45;1517;Sudeste
433;54;F;MG;2023-06-18;46-55;1016;Sudeste
434;43;F;SP;2021-12-09;36-45;1572;Sudeste
435;40;F;RJ;2025-09-11;36-45;200;Sudeste
436;26;F;ES;2024-07-27;26-35;611;Sudeste
437;29;Outro;SC;2024-10-07;26-35;539;Sul
438;18;F;PR;2023-03-24;18-25;1102;Sul
439;18;F;RS;2024-05-05;18-25;694;Sul
440;64;F;ES;2024-06-02;55+;666;Sudeste
441;51;M;ES;2023-07-29;46-55;975;Sudeste
442;49;F;RJ;2021-02-16;46-55;1868;Sudeste
443;42;F;PR;2024-04-23;36-45;706;Sul
444;57;F;RJ;2023-07-04;55+;1000;Sudeste
445;62;F;SC;2021-06-11;55+;1753;Sul
446;18;F;RS;2025-07-25;18-25;248;Sul
447;33;M;MG;2021-10-22;26-35;1620;Sudeste
448;56;M;ES;2021-04-02;55+;1823;Sudeste
449;22;F;RJ;2025-05-30;18-25;304;Sudeste
450;39;F;RS;2025-08-01;36-45;241;Sul
451;46;M;SC;2024-04-06;46-55;723;Sul
452;20;F;SC;2024-07-05;18-25;633;Sul
453;29;F;RS;2023-01-20;26-35;1165;Sul
454;43;F;SP;2022-07-11;36-45;1358;Sudeste
455;33;F;ES;2021-11-05;26-35;1606;Sudeste
456;54;F;SC;2025-07-31;46-55;242;Sul
457;39;F;RS;2025-06-27;36-45;276;Sul
458;46;F;MG;2024-02-27;46-55;762;Sudeste
459;31;M;RJ;2025-08-24;26-35;218;Sudeste
460;45;F;RJ;2025-04-23;36-45;341;Sudeste
461;22;M;SP;2022-07-23;18-25;1346;Sudeste
462;64;F;MG;2024-03-30;55+;730;Sudeste
463;47;M;SC;2021-06-25;46-55;1739;Sul
464;63;F;RS;2025-11-30;55+;120;Sul
465;22;M;SP;2024-08-04;18-25;603;Sudeste
466;29;F;SC;2023-08-31;26-35;942;Sul
467;33;M;SC;2024-11-29;26-35;486;Sul
468;43;F;ES;2025-08-08;36-45;234;Sudeste
469;43;F;PR;2023-07-27;36-45;977;Sul
470;38;F;RS;2025-05-23;36-45;311;Sul
471;56;F;SC;2024-09-25;55+;551;Sul
472;53;F;RJ;2023-10-16;46-55;896;Sudeste
473;50;Outro;SC;2024-07-15;46-55;623;Sul
474;47;F;SP;2021-08-06;46-55;1697;Sudeste
475;54;F;RS;2023-03-24;46-55;1102;Sul
476;40;F;SC;2021-06-13;36-45;1751;Sul
477;27;F;RS;2025-09-11;26-35;200;Sul
478;22;M;RJ;2024-11-15;18-25;500;Sudeste
479;53;F;RJ;2024-12-11;46-55;474;Sudeste
480;51;M;SP;2021-02-17;46-55;1867;Sudeste
481;48;F;RJ;2024-05-02;46-55;697;Sudeste
482;27;F;MG;2023-03-12;26-35;1114;Sudeste
483;36;F;MG;2022-12-19;36-45;1197;Sudeste
484;49;F;PR;2021-03-25;46-55;1831;Sul
485;18;F;RS;2022-09-05;18-25;1302;Sul
486;22;F;MG;2025-08-18;18-25;224;Sudeste
487;62;M;SP;2023-12-07;55+;844;Sudeste
488;21;M;SC;2021-08-22;18-25;1681;Sul
489;33;F;MG;2023-08-20;26-35;953;Sudeste
490;41;M;PR;2024-08-15;36-45;592;Sul
491;33;F;RS;2023-04-28;26-35;1067;Sul
492;19;F;ES;2021-05-27;18-25;1768;Sudeste
493;45;F;ES;2021-07-15;36-45;1719;Sudeste
494;49;F;SP;2023-06-25;46-55;1009;Sudeste
495;44;F;PR;2023-10-11;36-45;901;Sul
496;37;M;MG;2023-11-12;36-45;869;Sudeste
497;41;F;PR;2024-05-02;36-45;697;Sul
498;29;M;RJ;2022-01-21;26-35;1529;Sudeste
499;52;F;PR;2021-12-30;46-55;1551;Sul
500;50;M;MG;2021-10-01;46-55;1641;Sudeste
501;50;F;SP;2024-11-08;46-55;507;Sudeste
